iter	Logloss
0	0.5929048394
1	0.5564882541
2	0.5281243761
3	0.5102310927
4	0.4926038683
5	0.4779827474
6	0.4671478136
7	0.4580114746
8	0.4485298665
9	0.4428155246
10	0.4370275743
11	0.4311915283
12	0.4257380914
13	0.4204256456
14	0.4171948107
15	0.4127873264
16	0.4089928657
17	0.4053202718
18	0.4017914903
19	0.3982061225
20	0.3949396159
21	0.3914104546
22	0.3880991482
23	0.3847019314
24	0.3812533637
25	0.3781182183
26	0.3751922201
27	0.3723924018
28	0.3697480876
29	0.3671779921
30	0.3647754991
31	0.3624519179
32	0.3601793077
33	0.3580308024
34	0.355470025
35	0.3535982802
36	0.3516409776
37	0.3495590142
38	0.3477857395
39	0.3456818305
40	0.3438608941
41	0.3421456706
42	0.3404692925
43	0.3387202962
44	0.3369410672
45	0.3353259142
46	0.3338273926
47	0.3322989909
48	0.3307515462
49	0.3292796631
