iter	Passed	Remaining
0	606	29714
1	1248	29973
2	1777	27848
3	2301	26471
4	2794	25153
5	3310	24274
6	3821	23473
7	4342	22796
8	4957	22583
9	5478	21914
10	5999	21269
11	6525	20662
12	7046	20055
13	7556	19431
14	8094	18887
15	8590	18254
16	9099	17663
17	9603	17073
18	10154	16567
19	10688	16032
20	11267	15560
21	11806	15026
22	12367	14517
23	12980	14061
24	13531	13531
25	14119	13033
26	14617	12451
27	15170	11919
28	15677	11352
29	16191	10794
30	16710	10242
31	17270	9714
32	17752	9145
33	18268	8596
34	18822	8066
35	19284	7499
36	19817	6962
37	20327	6419
38	20835	5876
39	21332	5333
40	21831	4792
41	22323	4252
42	22789	3709
43	23290	3176
44	23810	2645
45	24372	2119
46	24898	1589
47	25368	1057
48	25923	529
49	26451	0
