,text_raw,text_clean
0,CHAPTER I.,chapter i
1,You don't know about me without you have read a book by the name of The Adventures of Tom Sawyer; but that ain't no matter.,you do not know about me without you have read a book by the name of the adventure of tom sawyer but that be not no matt
2,"That book was made by Mr. Mark Twain, and he told the truth, mainly.",that book be make by mr mark twain and he tell the truth mainly
3,"There was things which he stretched, but mainly he told the truth.",there be thing which he stretch but mainly he tell the truth
4,That is nothing.,that be nothing
5,"I never seen anybody but lied one time or another, without it was Aunt Polly, or the widow, or maybe Mary.",i never see anybody but lie one time or another without it be aunt polly or the widow or maybe mary
6,"Aunt Polly--Tom's Aunt Polly, she is--and Mary, and the Widow Douglas is all told about in that book, which is mostly a true book, with some stretchers, as I said before.",aunt polly tom s aunt polly she be and mary and the widow douglas be all tell about in that book which be mostly a true book with some stretcher a i say before
7,"Now the way that the book winds up is this: Tom and me found the money that the robbers hid in the cave, and it made us rich.",now the way that the book wind up be this tom and me find the money that the robber hide in the cave and it make us rich
8,We got six thousand dollars apiece--all gold.,we get six thousand dollar apiece all gold
9,It was an awful sight of money when it was piled up.,it be a awful sight of money when it be pile up
10,"Well, Judge Thatcher he took it and put it out at interest, and it fetched us a dollar a day apiece all the year round--more than a body could tell what to do with.",good judge thatcher he take it and put it out at interest and it fetch us a dollar a day apiece all the year round much than a body can tell what to do with
11,"The Widow Douglas she took me for her son, and allowed she would sivilize me; but it was rough living in the house all the time, considering how dismal regular and decent the widow was in all her ways; and so when I couldn't stand it no longer I lit out.",the widow douglas she take me for her son and allow she would sivilize me but it be rough live in the house all the time consider how dismal regular and decent the widow be in all her way and so when i can not stand it no long i light out
12,"I got into my old rags and my sugar-hogshead again, and was free and satisfied.",i get into my old rag and my sugar hogshead again and be free and satisfy
13,"But Tom Sawyer he hunted me up and said he was going to start a band of robbers, and I might join if I would go back to the widow and be respectable.",but tom sawyer he hunt me up and say he be go to start a band of robber and i may join if i would go back to the widow and be respectable
14,So I went back.,so i go back
15,"The widow she cried over me, and called me a poor lost lamb, and she called me a lot of other names, too, but she never meant no harm by it.",the widow she cry over me and call me a poor lose lamb and she call me a lot of other name too but she never mean no harm by it
16,"She put me in them new clothes again, and I couldn't do nothing but sweat and sweat, and feel all cramped up.",she put me in them new clothe again and i can not do nothing but sweat and sweat and feel all cramp up
