,text_raw,text_clean
0,The Cyclone,the cyclone
1,"Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmers wife.",dorothy live in the midst of the great kansas prairie with uncle henry who be a farmer and aunt them who be the farmer wife
2,"Their house was small, for the lumber to build it had to be carried by wagon many miles.",their house be small for the lumber to build it have to be carry by wagon many mile
3,"There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.",there be four wall a floor and a roof which make one room and this room contain a rusty look cookstove a cupboard for the dish a table three or four chair and the bed
4,"Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.",uncle henry and aunt them have a big bed in one corner and dorothy a little bed in another corner
5,"There was no garret at all, and no cellarexcept a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.",there be no garret at all and no cellarexcept a small hole dig in the grind call a cyclone cellar where the family can go in case one of that great whirlwind arise mighty enough to crush any build in its path
6,"It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.",it be reach by a trap door in the middle of the floor from which a ladder lead down into the small dark hole
7,"When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.",when dorothy stand in the doorway and look around she can see nothing but the great gray prairie on every side
8,Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.,not a tree nor a house break the broad sweep of flat country that reach to the edge of the sky in all direction
9,"The sun had baked the plowed land into a gray mass, with little cracks running through it.",the sun have bake the plow land into a gray mass with little crack run through it
10,"Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere.",even the grass be not green for the sun have burn the top of the long blade until they be the same gray color to be see everywhere
11,"Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.",once the house have be paint but the sun blister the paint and the rain wash it away and now the house be a dull and gray a everything else
12,"When Aunt Em came there to live she was a young, pretty wife.",when aunt them come there to live she be a young pretty wife
13,"The sun and wind had changed her, too.",the sun and wind have change her too
14,"They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also.",they have take the sparkle from her eye and leave them a sober gray they have take the red from her cheek and lip and they be gray also
15,"She was thin and gaunt, and never smiled now.",she be thin and gaunt and never smile now
16,"When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the childs laughter that she would scream and press her hand upon her heart whenever Dorothys merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at.",when dorothy who be a orphan ﻿1 come to her aunt them have be so startle by the child laughter that she would scream and press her hand upon her heart whenever dorothys merry voice reach her ear and she still look at the little girl with wonder that she can find anything to laugh at
17,Uncle Henry never laughed.,uncle henry never laugh
18,He worked hard from morning till night and did not know what joy was.,he work hard from morning till night and do not know what joy be
19,"He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.",he be gray also from his long beard to his rough boot and he look stern and solemn and rarely speak
20,"It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings.",it be toto that make dorothy laugh and save her from grow a gray a her other surrounding
21,"Toto was not gray; he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose.",toto be not gray he be a little black dog with long silky hair and small black eye that twinkle merrily on either side of his funny wee nose
22,"Toto played all day long, and Dorothy played with him, and loved him dearly.",toto play all day long and dorothy play with him and love him dearly
23,"Today, however, they were not playing.",today however they be not play
24,"Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.",uncle henry sit upon the doorstep and look anxiously at the sky which be even gray than usual
25,"Dorothy stood in the door with Toto in her arms, and looked at the sky too.",dorothy stand in the door with toto in her arm and look at the sky too
26,Aunt Em was washing the dishes.,aunt them be wash the dish
27,"From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.",from the far north they hear a low wail of the wind and uncle henry and dorothy can see where the long grass bow in wave before the come storm
28,"There now came a sharp whistling in the air from the south, and as they turned their eyes that way they saw ripples in the grass coming from that direction also.",there now come a sharp whistle in the air from the south and a they turn their eye that way they see ripple in the grass come from that direction also
29,Suddenly Uncle Henry stood up.,suddenly uncle henry stand up
30,"Theres a cyclone coming, Em, he called to his wife.",there be a cyclone come them he call to his wife
31,Ill go look after the stock.,ill go look after the stock
32,Then he ran toward the sheds where the cows and horses were kept.,then he run toward the shed where the cow and horse be keep
33,Aunt Em dropped her work and came to the door.,aunt them drop her work and come to the door
34,One glance told her of the danger close at hand.,one glance tell her of the danger close at hand
35,"Quick, Dorothy!",quick dorothy
36,she screamed.,she scream
37,Run for the cellar!,run for the cellar
38,"Toto jumped out of Dorothys arms and hid under the bed, and the girl started to get him.",toto jump out of dorothys arm and hide under the bed and the girl start to get him
39,"Aunt Em, badly frightened, threw open the trap door in the floor and climbed down the ladder into the small, dark hole.",aunt them badly frighten throw open the trap door in the floor and climb down the ladder into the small dark hole
40,Dorothy caught Toto at last and started to follow her aunt.,dorothy catch toto at last and start to follow her aunt
41,"When she was halfway across the room there came a great shriek from the wind, and the house shook so hard that she lost her footing and sat down suddenly upon the floor.",when she be halfway across the room there come a great shriek from the wind and the house shake so hard that she lose her foot and sit down suddenly upon the floor
42,Then a strange thing happened.,then a strange thing happen
43,The house whirled around two or three times and rose slowly through the air.,the house whirl around two or three time and rise slowly through the air
44,Dorothy felt as if she were going up in a balloon.,dorothy feel a if she be go up in a balloon
45,"The north and south winds met where the house stood, and made it the exact center of the cyclone.",the north and south wind meet where the house stand and make it the exact center of the cyclone
46,"In the middle of a cyclone the air is generally still, but the great pressure of the wind on every side of the house raised it up higher and higher, until it was at the very top of the cyclone; and there it remained and was carried miles and miles away as easily as you could carry a feather.",in the middle of a cyclone the air be generally still but the great pressure of the wind on every side of the house raise it up high and high until it be at the very top of the cyclone and there it remain and be carry mile and mile away a easily a you can carry a feather
47,"It was very dark, and the wind howled horribly around her, but Dorothy found she was riding quite easily.",it be very dark and the wind howl horribly around her but dorothy find she be ride quite easily
48,"After the first few whirls around, and one other time when the house tipped badly, she felt as if she were being rocked gently, like a baby in a cradle.",after the ﻿1 few whirl around and one other time when the house tip badly she feel a if she be be rock gently like a baby in a cradle
49,Toto did not like it.,toto do not like it
50,"He ran about the room, now here, now there, barking loudly; but Dorothy sat quite still on the floor and waited to see what would happen.",he run about the room now here now there bark loudly but dorothy sit quite still on the floor and wait to see what would happen
51,"Once Toto got too near the open trap door, and fell in; and at first the little girl thought she had lost him.",once toto get too near the open trap door and fall in and at ﻿1 the little girl think she have lose him
52,"But soon she saw one of his ears sticking up through the hole, for the strong pressure of the air was keeping him up so that he could not fall.",but soon she see one of his ear stick up through the hole for the strong pressure of the air be keep him up so that he can not fall
53,"She crept to the hole, caught Toto by the ear, and dragged him into the room again, afterward closing the trap door so that no more accidents could happen.",she creep to the hole catch toto by the ear and drag him into the room again afterward close the trap door so that no much accident can happen
54,"Hour after hour passed away, and slowly Dorothy got over her fright; but she felt quite lonely, and the wind shrieked so loudly all about her that she nearly became deaf.",hour after hour pass away and slowly dorothy get over her fright but she feel quite lonely and the wind shriek so loudly all about her that she nearly become deaf
55,"At first she had wondered if she would be dashed to pieces when the house fell again; but as the hours passed and nothing terrible happened, she stopped worrying and resolved to wait calmly and see what the future would bring.",at ﻿1 she have wonder if she would be dash to piece when the house fall again but a the hour pass and nothing terrible happen she stop worry and resolve to wait calmly and see what the future would bring
56,"At last she crawled over the swaying floor to her bed, and lay down upon it; and Toto followed and lay down beside her.",at last she crawl over the sway floor to her bed and lie down upon it and toto follow and lie down beside her
57,"In spite of the swaying of the house and the wailing of the wind, Dorothy soon closed her eyes and fell fast asleep.",in spite of the sway of the house and the wail of the wind dorothy soon close her eye and fall fast asleep
58,CHAPTER II,chapter ii
59,The Council with the Munchkins,the council with the munchkins
60,"She was awakened by a shock, so sudden and severe that if Dorothy had not been lying on the soft bed she might have been hurt.",she be awaken by a shock so sudden and severe that if dorothy have not be lie on the soft bed she may have be hurt
61,"As it was, the jar made her catch her breath and wonder what had happened; and Toto put his cold little nose into her face and whined dismally.",a it be the jar make her catch her breath and wonder what have happen and toto put his cold little nose into her face and whine dismally
62,"Dorothy sat up and noticed that the house was not moving; nor was it dark, for the bright sunshine came in at the window, flooding the little room.",dorothy sit up and notice that the house be not move nor be it dark for the bright sunshine come in at the window flood the little room
63,She sprang from her bed and with Toto at her heels ran and opened the door.,she spring from her bed and with toto at her heel run and open the door
64,"The little girl gave a cry of amazement and looked about her, her eyes growing bigger and bigger at the wonderful sights she saw.",the little girl give a cry of amazement and look about her her eye grow big and big at the wonderful sight she see
65,The cyclone had set the house down very gentlyfor a cyclonein the midst of a country of marvelous beauty.,the cyclone have set the house down very gentlyfor a cyclonein the midst of a country of marvelous beauty
66,"There were lovely patches of greensward all about, with stately trees bearing rich and luscious fruits.",there be lovely patch of greensward all about with stately tree bear rich and luscious fruit
67,"Banks of gorgeous flowers were on every hand, and birds with rare and brilliant plumage sang and fluttered in the trees and bushes.",bank of gorgeous flower be on every hand and bird with rare and brilliant plumage sing and flutter in the tree and bush
68,"A little way off was a small brook, rushing and sparkling along between green banks, and murmuring in a voice very grateful to a little girl who had lived so long on the dry, gray prairies.",a little way off be a small brook rush and sparkle along between green bank and murmur in a voice very grateful to a little girl who have live so long on the dry gray prairie
69,"While she stood looking eagerly at the strange and beautiful sights, she noticed coming toward her a group of the queerest people she had ever seen.",while she stand look eagerly at the strange and beautiful sight she notice come toward her a group of the queer people she have ever see
70,They were not as big as the grown folk she had always been used to; but neither were they very small.,they be not a big a the grow folk she have always be use to but neither be they very small
71,"In fact, they seemed about as tall as Dorothy, who was a well-grown child for her age, although they were, so far as looks go, many years older.",in fact they seem about a tall a dorothy who be a good grow child for her age although they be so far a look go many year old
72,"Three were men and one a woman, and all were oddly dressed.",three be man and one a woman and all be oddly dress
73,"They wore round hats that rose to a small point a foot above their heads, with little bells around the brims that tinkled sweetly as they moved.",they wear round hat that rise to a small point a foot above their head with little bell around the brim that tinkle sweetly a they move
74,"The hats of the men were blue; the little womans hat was white, and she wore a white gown that hung in pleats from her shoulders.",the hat of the man be blue the little womans hat be white and she wear a white gown that hang in pleat from her shoulder
75,Over it were sprinkled little stars that glistened in the sun like diamonds.,over it be sprinkle little star that glisten in the sun like diamond
76,"The men were dressed in blue, of the same shade as their hats, and wore well-polished boots with a deep roll of blue at the tops.",the man be dress in blue of the same shade a their hat and wear good polish boot with a deep roll of blue at the top
77,"The men, Dorothy thought, were about as old as Uncle Henry, for two of them had beards.",the man dorothy think be about a old a uncle henry for two of them have beard
78,But the little woman was doubtless much older.,but the little woman be doubtless much old
79,"Her face was covered with wrinkles, her hair was nearly white, and she walked rather stiffly.",her face be cover with wrinkle her hair be nearly white and she walk rather stiffly
80,"When these people drew near the house where Dorothy was standing in the doorway, they paused and whispered among themselves, as if afraid to come farther.",when this people draw near the house where dorothy be stand in the doorway they pause and whisper among themselves a if afraid to come far
