,text_raw,text_clean
0,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",i be bear in tuckahoe near hillsborough and about twelve mile from easton in talbot county maryland
1,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",i have no accurate knowledge of my age never have see any authentic record contain it
2,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",by far the large part of the slave know a little of their age a horse know of theirs and it be the wish of much master within my knowledge to keep their slave thus ignorant
3,I do not remember to have ever met a slave who could tell of his birthday.,i do not remember to have ever meet a slave who can tell of his birthday
4,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",they seldom come near to it than plant time harvest time cherry time spring time or fall time
5,A want of information concerning my own was a source of unhappiness to me even during childhood.,a want of information concern my own be a source of unhappiness to me even during childhood
6,The white children could tell their ages.,the white child can tell their age
7,I could not tell why I ought to be deprived of the same privilege.,i can not tell why i ought to be deprive of the same privilege
8,I was not allowed to make any inquiries of my master concerning it.,i be not allow to make any inquiry of my master concern it
9,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",he deem all such inquiry on the part of a slave improper and impertinent and evidence of a restless spirit
10,The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.,the near estimate i can give make me now between twenty seven and twenty eight year of age
11,"I come to this, from hearing my master say, some time during 1835, I was about seventeen years old.",i come to this from hear my master say some time during i be about seventeen year old
12,My mother was named Harriet Bailey.,my mother be name harriet bailey
13,"She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.",she be the daughter of isaac and betsey bailey both color and quite dark
14,My mother was of a darker complexion than either my grandmother or grandfather.,my mother be of a dark complexion than either my grandmother or grandfather
15,My father was a white man.,my father be a white man
16,He was admitted to be such by all I ever heard speak of my parentage.,he be admit to be such by all i ever hear speak of my parentage
17,"The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.",the opinion be also whisper that my master be my father but of the correctness of this opinion i know nothing the mean of know be withhold from me
18,My mother and I were separated when I was but an infantbefore I knew her as my mother.,my mother and i be separate when i be but a infantbefore i know her a my mother
19,"It is a common custom, in the part of Maryland from which I ran away, to part children from their mothers at a very early age.",it be a common custom in the part of maryland from which i run away to part child from their mother at a very early age
20,"Frequently, before the child has reached its twelfth month, its mother is taken from it, and hired out on some farm a considerable distance off, and the child is placed under the care of an old woman, too old for field labor.",frequently before the child have reach its 12 month its mother be take from it and hire out on some farm a considerable distance off and the child be place under the care of a old woman too old for field labor
21,"For what this separation is done, I do not know, unless it be to hinder the development of the childs affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.",for what this separation be do i do not know unless it be to hinder the development of the child affection toward its mother and to blunt and destroy the natural affection of the mother for the child
22,This is the inevitable result.,this be the inevitable result
23,"I never saw my mother, to know her as such, more than four or five times in my life; and each of these times was very short in duration, and at night.",i never see my mother to know her a such much than four or five time in my life and each of this time be very short in duration and at night
24,"She was hired by a Mr. Stewart, who lived about twelve miles from my home.",she be hire by a mr stewart who live about twelve mile from my home
25,"She made her journeys to see me in the night, travelling the whole distance on foot, after the performance of her days work.",she make her journey to see me in the night travel the whole distance on foot after the performance of her day work
26,"She was a field hand, and a whipping is the penalty of not being in the field at sunrise, unless a slave has special permission from his or her master to the contrarya permission which they seldom get, and one that gives to him that gives it the proud name of being a kind master.",she be a field hand and a whip be the penalty of not be in the field at sunrise unless a slave have special permission from his or her master to the contrarya permission which they seldom get and one that give to him that give it the proud name of be a kind master
27,I do not recollect of ever seeing my mother by the light of day.,i do not recollect of ever see my mother by the light of day
28,She was with me in the night.,she be with me in the night
29,"She would lie down with me, and get me to sleep, but long before I waked she was gone.",she would lie down with me and get me to sleep but long before i wake she be go
30,Very little communication ever took place between us.,very little communication ever take place between us
31,"Death soon ended what little we could have while she lived, and with it her hardships and suffering.",death soon end what little we can have while she live and with it her hardship and suffer
32,"She died when I was about seven years old, on one of my masters farms, near Lees Mill.",she die when i be about seven year old on one of my master farm near lee mill
33,"I was not allowed to be present during her illness, at her death, or burial.",i be not allow to be present during her illness at her death or burial
34,She was gone long before I knew any thing about it.,she be go long before i know any thing about it
35,"Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.",never have enjoy to any considerable extent her soothe presence her tender and watchful care i receive the tidings of her death with much the same emotion i should have probably feel at the death of a strange
36,"Called thus suddenly away, she left me without the slightest intimation of who my father was.",call thus suddenly away she leave me without the slight intimation of who my father be
37,"The whisper that my master was my father, may or may not be true; and, true or false, it is of but little consequence to my purpose whilst the fact remains, in all its glaring odiousness, that slaveholders have ordained, and by law established, that the children of slave women shall in all cases follow the condition of their mothers; and this is done too obviously to administer to their own lusts, and make a gratification of their wicked desires profitable as well as pleasurable; for by this cunning arrangement, the slaveholder, in cases not a few, sustains to his slaves the double relation of master and father.",the whisper that my master be my father may or may not be true and true or false it be of but little consequence to my purpose whilst the fact remain in all its glare odiousness that slaveholders have ordain and by law establish that the child of slave woman shall in all case follow the condition of their mother and this be do too obviously to administer to their own lust and make a gratification of their wicked desire profitable a good a pleasurable for by this cunning arrangement the slaveholder in case not a few sustain to his slave the double relation of master and father
38,"I know of such cases; and it is worthy of remark that such slaves invariably suffer greater hardships, and have more to contend with, than others.",i know of such case and it be worthy of remark that such slave invariably suffer great hardship and have much to contend with than other
39,"They are, in the first place, a constant offence to their mistress.",they be in the ﻿1 place a constant offence to their mistress
40,"She is ever disposed to find fault with them; they can seldom do any thing to please her; she is never better pleased than when she sees them under the lash, especially when she suspects her husband of showing to his mulatto children favors which he withholds from his black slaves.",she be ever dispose to find fault with them they can seldom do any thing to please her she be never well please than when she see them under the lash especially when she suspect her husband of show to his mulatto child favor which he withhold from his black slave
