,text_raw,text_clean
0,INT.,int
1,"DARK ROOM - NIGHT TIME An old man lights a gas oven with a match, he is preparing food.",dark room night time a old man light a gas oven with a match he be prepare food
2,"He notices a light on in the large house opposite, he stops what he's doing and walks to the door.",he notice a light on in the large house opposite he stop what he be do and walk to the door
3,OLD Bloody kids.,old bloody kid
4,He leaves the house and heads towards the light.,he leave the house and head towards the light
5,EXT.,ext
6,DARKNESS The old man is wandering up to the house carrying a lit torch.,darkness the old man be wander up to the house carry a light torch
7,"He opens the front door, inside is just as dark.",he open the front door inside be just a dark
8,"He begins climbing the stairs, we hear whispers and hushed voices coming from upstairs.",he begin climb the stair we hear whisper and hush voice come from upstairs
9,The old man waits outside the room where the conversation is taking place and listens on.,the old man wait outside the room where the conversation be take place and listen on
10,Oh no no no my Lord Voldemort.,oh no no no my lord voldemort
11,I only meant... perhaps if we were to do it without the boy..,i only mean perhaps if we be to do it without the boy
12,"The boy is everything, it cannot be done without him and it be done exactly as I say.",the boy be everything it can not be do without him and it be do exactly a i say
13,UNKNOWN I will not disappoint you my lord.,unknown i will not disappoint you my lord
14,Good.,good
15,"First, gather our old comrades.",﻿1 gather our old comrade
16,Send them a sign.,send them a sign
17,A snake slithers past the old man and into the room.,a snake slither past the old man and into the room
18,Nagini tells me the old caretaker is standing outside the door.,nagini tell me the old caretaker be stand outside the door
19,Wormtail stands in the doorway and looks at the old man.,wormtail stand in the doorway and look at the old man
20,The old man looks terrified.,the old man look terrify
21,Step aside so I can give our guest a proper greeting.,step aside so i can give our guest a proper greet
22,A loud spell is cast and Harry wakes up in a flash of panic.,a loud spell be cast and harry wake up in a flash of panic
23,INT.,int
24,BEDROOM HERMIONE Harry!,bedroom hermione harry
25,Harry is flustered and still panicing.,harry be fluster and still panicing
26,HERMIONE Are you alright?,hermione be you alright
27,Hermione.,hermione
28,Bad dream.,bad dream
29,When did you get here?,when do you get here
30,Just now.,just now
31,You?,you
32,HARRY Last night.,harry last night
33,Hermione goes over to Ron's bed.,hermione go over to ron s bed
34,HERMIONE Wake up.,hermione wake up
35,Wake up Ronald!,wake up ronald
36,RON Bloody hell.,ron bloody hell
37,HERMIONE Honestly.,hermione honestly
38,"Get dressed, and don't go back to sleep.",get dress and do not go back to sleep
39,Come on Ron!,come on ron
40,Your mother says breakfast's ready.,your mother say breakfast s ready
41,EXT.,ext
