,text_raw,text_clean
0,"1 I was the shadow of the waxwing slain By the false azure in the windowpane; I was the smudge of ashen fluffand I Lived on, flew on, in the reflected sky.",i be the shadow of the waxwing slay by the false azure in the windowpane i be the smudge of ashen fluffand i live on fly on in the reflect sky
1,"And from the inside, too, Id duplicate Myself, my lamp, an apple on a plate: Uncurtaining the night, Id let dark glass Hang all the furniture above the grass, And how delightful when a fall of snow 10 Covered my glimpse of lawn and reached up so As to make chair and bed exactly stand Upon that snow, out in that crystal land!",and from the inside too i would duplicate myself my lamp a apple on a plate uncurtaining the night i would let dark glass hang all the furniture above the grass and how delightful when a fall of snow cover my glimpse of lawn and reach up so a to make chair and bed exactly stand upon that snow out in that crystal land
2,"Retake the falling snow: each drifting flake Shapeless and slow, unsteady and opaque, A dull dark white against the days pale white And abstract larches in the neutral light.",retake the fall snow each drift flake shapeless and slow unsteady and opaque a dull dark white against the day pale white and abstract larch in the neutral light
3,"And then the gradual and dual blue As night unites the viewer and the view, And in the morning, diamonds of frost",and then the gradual and dual blue a night unite the viewer and the view and in the morning diamond of frost
4,20 Express amazement: Whose spurred feet have crossed From left to right the blank page of the road?,express amazement whose spur foot have cross from leave to right the blank page of the road
5,"Reading from left to right in winters code: A dot, an arrow pointing back; repeat: Dot, arrow pointing back  A pheasants feet!",read from leave to right in winter code a dot a arrow point back repeat dot arrow point back a pheasant foot
6,"Torquated beauty, sublimated grouse, Finding your China right behind my house.",torquated beauty sublimate grouse find your china right behind my house
7,"Was he in Sherlock Holmes, the fellow whose Tracks pointed back when he reversed his shoes?",be he in sherlock holmes the fellow whose track point back when he reverse his shoe
8,All colors made me happy: even gray.,all color make me happy even gray
9,30 My eyes were such that literally they Took photographs.,my eye be such that literally they take photograph
10,"Whenever Id permit, Or, with a silent shiver, order it, Whatever in my field of vision dwelt An indoor scene, hickory leaves, the svelte Stilettos of a frozen stillicide Was printed on my eyelids nether side Where it would tarry for an hour or two, And while this lasted all I had to do Was close my eyes to reproduce the leaves, 40 Or indoor scene, or trophies of the eaves.",whenever i would permit or with a silent shiver order it whatever in my field of vision dwell a indoor scene hickory leave the svelte stiletto of a freeze stillicide be print on my eyelid nether side where it would tarry for a hour or two and while this last all i have to do be close my eye to reproduce the leave or indoor scene or trophy of the eave
11,"I cannot understand why from the lake I could make out our front porch when Id take Lake Road to school, whilst now, although no tree Has intervened, I look but fail to see Even the roof.",i can not understand why from the lake i can make out our front porch when i would take lake road to school whilst now although no tree have intervene i look but fail to see even the roof
12,"Maybe some quirk in space Has caused a fold or furrow to displace The fragile vista, the frame house between Goldsworth and Wordsmith on its square of green.",maybe some quirk in space have cause a fold or furrow to displace the fragile vista the frame house between goldsworth and wordsmith on its square of green
13,I had a favorite young shagbark there,i have a favorite young shagbark there
14,"50 With ample dark jade leaves and a black, spare, Vermiculated trunk.",with ample dark jade leave and a black spare vermiculated trunk
15,"The setting sun Bronzed the black bark, around which, like undone Garlands, the shadows of the foliage fell.",the set sun bronze the black bark around which like undo garland the shadow of the foliage fall
16,It is now stout and rough; it has done well.,it be now stout and rough it have do good
17,White butterflies turn lavender as they Pass through its shade where gently seems to sway The phantom of my little daughters swing.,white butterfly turn lavender a they pass through its shade where gently seem to sway the phantom of my little daughter swing
18,The house itself is much the same.,the house itself be much the same
19,One wing Weve had revamped.,one wing we have have revamp
20,Theres a solarium.,there be a solarium
21,Theres,there be
22,60 A picture window flanked with fancy chairs.,a picture window flank with fancy chair
23,"TVs huge paperclip now shines instead Of the stiff vane so often visited By the nave, the gauzy mockingbird Retelling all the programs she had heard; Switching from chippo-chippo to a clear To-wee, to-wee; then rasping out: come here, Come here, come herrr; flirting her tail aloft, Or gracefully indulging in a soft Upward hop-flop, and instantly (to-wee!)",tvs huge paperclip now shine instead of the stiff vane so often visit by the nave the gauzy mockingbird retell all the program she have hear switch from chippo chippo to a clear to wee to wee then rasp out come here come here come herrr flirt her tail aloft or gracefully indulge in a soft upward hop flop and instantly to wee
24,70 Returning to her perchthe new TV.,return to her perchthe new tv
25,I was an infant when my parents died.,i be a infant when my parent die
26,They both were ornithologists.,they both be ornithologist
27,Ive tried So often to evoke them that today I have a thousand parents.,i have try so often to evoke them that today i have a thousand parent
28,"Sadly they Dissolve in their own virtues and recede, But certain words, chance words I hear or read, Such as bad heart always to him refer, And cancer of the pancreas to her.",sadly they dissolve in their own virtue and recede but certain word chance word i hear or read such a bad heart always to him refer and cancer of the pancreas to her
29,A preterist: one who collects cold nests.,a preterist one who collect cold nest
30,"80 Here was my bedroom, now reserved for guests.",here be my bedroom now reserve for guest
31,"Here, tucked away by the Canadian maid, I listened to the buzz downstairs and prayed For everybody to be always well, Uncles and aunts, the maid, her niece Adle Whod seen the Pope, people in books, and God.",here tuck away by the canadian maid i listen to the buzz downstairs and pray for everybody to be always good uncle and aunt the maid her niece adle who would see the pope people in book and god
32,"I was brought up by dear bizarre Aunt Maud, A poet and a painter with a taste For realistic objects interlaced With grotesque growths and images of doom.",i be bring up by dear bizarre aunt maud a poet and a painter with a taste for realistic object interlace with grotesque growth and image of doom
33,90 She lived to hear the next babe cry.,she live to hear the next babe cry
34,Her room Weve kept intact.,her room we have keep intact
35,"Its trivia create A still life in her style: the paperweight Of convex glass enclosing a lagoon, The verse book open at the Index (Moon, Moonrise, Moor, Moral), the forlorn guitar, The human skull; and from the local Star A curio: Red Sox Beat Yanks 5-4 On Chapmans Homer, thumbtacked to the door.",its trivium create a still life in her style the paperweight of convex glass enclose a lagoon the verse book open at the index moon moonrise moor moral the forlorn guitar the human skull and from the local star a curio red sox beat yank on chapmans homer thumbtacked to the door
36,My God died young.,my god die young
37,Theolatry I found,theolatry i find
38,"100 Degrading, and its premises, unsound.",degrade and its premise unsound
39,No free man needs a God; but was I free?,no free man need a god but be i free
40,"How fully I felt nature glued to me And how my childish palate loved the taste Half-fish, half-honey, of that golden paste!",how fully i feel nature glue to me and how my childish palate love the taste half fish half honey of that golden paste
41,"My picture book was at an early age The painted parchment papering our cage: Mauve rings around the moon; blood-orange sun; Twinned Iris; and that rare phenomenon The iridulewhen, beautiful and strange,",my picture book be at a early age the paint parchment paper our cage mauve ring around the moon blood orange sun twin iris and that rare phenomenon the iridulewhen beautiful and strange
42,110 In a bright sky above a mountain range One opal cloudlet in an oval form Reflects the rainbow of a thunderstorm Which in a distant valley has been staged For we are most artistically caged.,in a bright sky above a mountain range one opal cloudlet in a oval form reflect the rainbow of a thunderstorm which in a distant valley have be stage for we be much artistically cage
43,And theres the wall of sound: the nightly wall Raised by a trillion crickets in the fall.,and there be the wall of sound the nightly wall raise by a trillion cricket in the fall
44,Impenetrable!,impenetrable
45,Halfway up the hill Id pause in thrall of their delirious trill.,halfway up the hill i would pause in thrall of their delirious trill
46,Thats Dr. Suttons light.,that be dr suttons light
47,Thats the Great Bear.,that be the great bear
48,120 A thousand years ago five minutes were Equal to forty ounces of fine sand.,a thousand year ago five minute be equal to forty ounce of fine sand
49,Outstare the stars.,outstare the star
50,"Infinite foretime and Infinite aftertime: above your head They close like giant wings, and you are dead.",infinite foretime and infinite aftertime above your head they close like giant wing and you be dead
51,"The regular vulgarian, I daresay, Is happier: he sees the Milky Way Only when making water.",the regular vulgarian i daresay be happy he see the milky way only when make water
