,text_raw,text_clean
0,CHAPTER 1 THE WINDOW,chapter the window
1,"""Yes, of course, if it's fine tomorrow,"" said Mrs. Ramsay.",yes of course if it be fine tomorrow say mrs ramsay
2,"""But you'll have to be up with the lark,"" she added.",but you will have to be up with the lark she add
3,"To her son these words conveyed an extraordinary joy, as if it were settled, the expedition were bound to take place, and the wonder to which he had looked forward, for years and years it seemed, was, after a night's darkness and a day's sail, within touch.",to her son this word convey a extraordinary joy a if it be settle the expedition be bind to take place and the wonder to which he have look forward for year and year it seem be after a night s darkness and a day s sail within touch
4,"Since he belonged, even at the age of six, to that great clan which cannot keep this feeling separate from that, but must let future prospects, with their joys and sorrows, cloud what is actually at hand, since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests, James Ramsay, sitting on the floor cutting out pictures from the illustrated catalogue of the Army and Navy stores, endowed the picture of a refrigerator, as his mother spoke, with heavenly bliss.",since he belong even at the age of six to that great clan which can not keep this feel separate from that but must let future prospect with their joy and sorrow cloud what be actually at hand since to such people even in early childhood any turn in the wheel of sensation have the power to crystallise and transfix the moment upon which its gloom or radiance rest james ramsay sit on the floor cut out picture from the illustrate catalogue of the army and navy store endow the picture of a refrigerator a his mother speak with heavenly bliss
5,It was fringed with joy.,it be fringe with joy
6,"The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing, brooms knocking, dresses rustlingall these were so coloured and distinguished in his mind that he had already his private code, his secret language, though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.",the wheelbarrow the lawnmower the sound of poplar tree leave whiten before rain rook caw broom knock dress rustlingall this be so colour and distinguish in his mind that he have already his private code his secret language though he appear the image of stark and uncompromising severity with his high forehead and his fierce blue eye impeccably candid and pure frown slightly at the sight of human frailty so that his mother watch him guide his scissor neatly round the refrigerator imagine him all red and ermine on the bench or direct a stern and momentous enterprise in some crisis of public affair
7,"""But,"" said his father, stopping in front of the drawing-room window, ""it won't be fine.""",but say his father stop in front of the draw room window it will not be fine
8,"Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it.",have there be a axe handy a poker or any weapon that would have gash a hole in his father s breast and kill him there and then james would have seize it
9,"Such were the extremes of emotion that Mr. Ramsay excited in his children's breasts by his mere presence; standing, as now, lean as a knife, narrow as the blade of one, grinning sarcastically, not only with the pleasure of disillusioning his son and casting ridicule upon his wife, who was ten thousand times better in every way than he was (James thought), but also with some secret conceit at his own accuracy of judgement.",such be the extreme of emotion that mr ramsay excite in his child s breast by his mere presence stand a now lean a a knife narrow a the blade of one grin sarcastically not only with the pleasure of disillusion his son and cast ridicule upon his wife who be ten thousand time well in every way than he be james think but also with some secret conceit at his own accuracy of judgement
10,What he said was true.,what he say be true
11,It was always true.,it be always true
12,"He was incapable of untruth; never tampered with a fact; never altered a disagreeable word to suit the pleasure or convenience of any mortal being, least of all of his own children, who, sprung from his loins, should be aware from childhood that life is difficult; facts uncompromising; and the passage to that fabled land where our brightest hopes are extinguished, our frail barks founder in darkness (here Mr. Ramsay would straighten his back and narrow his little blue eyes upon the horizon), one that needs, above all, courage, truth, and the power to endure.",he be incapable of untruth never tamper with a fact never alter a disagreeable word to suit the pleasure or convenience of any mortal be little of all of his own child who spring from his loin should be aware from childhood that life be difficult fact uncompromising and the passage to that fabled land where our bright hope be extinguish our frail bark founder in darkness here mr ramsay would straighten his back and narrow his little blue eye upon the horizon one that need above all courage truth and the power to endure
13,"""But it may be fineI expect it will be fine,"" said Mrs. Ramsay, making some little twist of the reddish brown stocking she was knitting, impatiently.",but it may be finei expect it will be fine say mrs ramsay make some little twist of the reddish brown stock she be knit impatiently
